@relation spec											
											
@attribute univ { METRO, FOR, COUNTRY, SEOUL }											
@attribute gpa numeric											
@attribute toeic numeric											
@attribute toss {0, 1, 2, 3, 4, 5, 6, 7, 8}											
@attribute opic {N, IL, IMONE, IMTWO, IMTHREE, IH, AL}											
@attribute forlang numeric											
@attribute cert numeric											
@attribute award numeric											
@attribute intern numeric											
@attribute forexp numeric		
@attribute vol numeric									
@attribute comp {KAKAO, NAVER, SAMSUNG, SAMSUNGSDS, SKHYNIX, KT, LGUPLUS, LOTTEICT, CJOLIVENETWORKS, NCSOFT}											
											
											
@data											
SEOUL,	3.8,	965,	0,	N,	0,	1,	0,	0,	1,	0,	 NAVER
SEOUL,	0,	850,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	0,	960,	0,	N,	0,	0,	0,	0,	1,	0,	 NAVER
SEOUL,	3.3,	825,	0,	N,	0,	0,	0,	0,	1,	1,	 NAVER
SEOUL,	3.7,	880,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3.8,	0,	0,	N,	0,	3,	0,	0,	1,	0,	 NAVER
SEOUL,	3.5,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.8,	0,	0,	N,	0,	3,	0,	0,	1,	0,	 NAVER
COUNTRY,	3.9,	960,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
COUNTRY,	3.8,	745,	0,	N,	0,	0,	0,	0,	1,	1,	 NAVER
SEOUL,	3.1,	715,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
METRO,	3.4,	0,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
COUNTRY,	3,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
COUNTRY,	0,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3.7,	925,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	2.5,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.5,	940,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3.6,	940,	0,	N,	0,	2,	0,	0,	1,	0,	 NAVER
SEOUL,	2.8,	750,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
SEOUL,	3.7,	0,	0,	N,	0,	1,	0,	0,	1,	0,	 NAVER
SEOUL,	3.6,	975,	0,	N,	0,	0,	0,	0,	1,	0,	 NAVER
METRO,	3.6,	890,	0,	N,	0,	2,	0,	0,	0,	1,	 NAVER
COUNTRY,	3.8,	820,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
COUNTRY,	3.6,	730,	0,	N,	0,	2,	0,	0,	0,	0,	 NAVER
COUNTRY,	2.4,	540,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3.9,	850,	0,	N,	0,	3,	0,	0,	0,	0,	 NAVER
METRO,	3.5,	521,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
FOR,	3.9,	0,	0,	N,	1,	4,	1,	0,	0,	0,	 NAVER
SEOUL,	2.8,	825,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
COUNTRY,	4,	720,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3.2,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	4.3,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
METRO,	0,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
COUNTRY,	4.3,	885,	0,	N,	0,	3,	0,	0,	0,	0,	 NAVER
METRO,	3.2,	810,	0,	N,	0,	0,	1,	0,	0,	0,	 NAVER
METRO,	3.7,	800,	0,	 IMTWO,	1,	0,	0,	1,	0,	2,	 NAVER
FOR,	3,	0,	0,	N,	2,	3,	1,	0,	0,	0,	 NAVER
COUNTRY,	3.6,	0,	0,	N,	0,	0,	1,	0,	0,	0,	 NAVER
COUNTRY,	2.5,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
COUNTRY,	2.8,	0,	0,	N,	0,	4,	1,	0,	0,	2,	 NAVER
SEOUL,	4.1,	930,	0,	N,	0,	0,	1,	0,	0,	0,	 NAVER
SEOUL,	4.2,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.8,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.5,	885,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	4,	670,	0,	N,	0,	3,	0,	0,	0,	0,	 NAVER
SEOUL,	3.6,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
METRO,	3.6,	0,	0,	N,	1,	1,	0,	0,	0,	0,	 NAVER
COUNTRY,	3.8,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.8,	735,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	3.2,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
METRO,	3.1,	0,	0,	N,	0,	1,	0,	0,	0,	0,	 NAVER
SEOUL,	4.3,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
SEOUL,	3.5,	0,	0,	N,	0,	0,	0,	0,	0,	0,	 NAVER
COUNTRY,	3.5,	885,	0,	 IH,	0,	3,	1,	0,	1,	1,	 SAMSUNG
SEOUL,	3.8,	0,	6,	N,	0,	0,	0,	1,	1,	0,	 SAMSUNG
COUNTRY,	3.9,	895,	1,	N,	0,	8,	0,	0,	0,	3,	 SAMSUNG
SEOUL,	3.6,	960,	0,	 AL,	0,	0,	1,	0,	3,	11,	 SAMSUNG
METRO,	4.3,	970,	0,	 AL,	1,	2,	3,	1,	1,	5,	 SAMSUNG
COUNTRY,	4,	750,	8,	 IH,	0,	0,	0,	0,	0,	0,	 SAMSUNG
SEOUL,	4,	875,	6,	N,	0,	2,	0,	0,	1,	3,	 SAMSUNG
METRO,	3.5,	0,	0,	 IH,	0,	3,	0,	0,	1,	2,	 SAMSUNG
METRO,	4,	875,	6,	N,	0,	1,	1,	0,	3,	4,	 SAMSUNG
SEOUL,	3.5,	735,	6,	N,	0,	3,	0,	0,	1,	3,	 SAMSUNG
